Text,ground_label,modality
"it's just, it feels silly for me to be giving a speech",Complain,Text
you've got like a- like a post-pregnancy glow.,Praise,Text+Audio
her hair looks like spaghetti that's been left in the pot.,Taunt,Audio+Video
you stay right here.,Arrange,Text
and you're reText+Video+Audioy good at holding things.,Praise,Text
i'm sorry. i tried.,Apologise,Text
"i'm sorry, cheyenne. gecko lady's weirder.",Apologise,Text
we should be talking about actual issues.,Advise,Text
you don't have to be embarrassed.,Comfort,Text
the worst part about this is that colleen wins again.,Complain,Text
i really hate her.,Complain,Text
"i budgeted six shrimp per person, so go to town.",Inform,Audio
where's my order? i need that washing machine.,Ask for help,Text
"sorry, buddy. not you. you look totally normal.",Apologise,Text
but you are gonna be fine.,Comfort,Text
"i order three jars of pumpkin spice salsa an hour ago, and i've been waiting in my car.",Complain,Text+Audio
"not today. look, i'm sorry about amy too.",Apologise,Text
and the sound quality's full  garbagio.,Complain,Text+Video+Audio
i have to fix it before maya sees.,Leave,Text
"glenn, apologize to the car i dented.",Arrange,Text+Video
are you okay?,Care,Text
garrett can do anything.,Taunt,Text+Video+Audio
i was the best salesperson in the store.,Flaunt,Text
this isn't the company i signed up to work for after they drove my family hardware store out of business.,Complain,Video
"eric, i told you, you can't just let anybody into my house.",Criticize,Text+Video+Audio
he brings that up a lot. i'm sorry.,Apologise,Text
everything all right?,Care,Text
"sorry, just a little nervous.",Apologise,Text
"hey, they still have some!",Inform,Text
"i work here 16 to 19 hours a day, so i'm missing a lot of time with her.",Complain,Text
he's lying right now because he stole the stuff.,Criticize,Text
i'm pretty good at hiding things.,Flaunt,Text+Audio
my husband's being such a b-munch right now.,Complain,Text
"okay, bye.",Leave,Text
"no, no, no, janet, don't hang up.",Prevent,Text
"attention cloud 9 shoppers and employees. i, uh--i just wanted to take this moment",Inform,Text
"yeah, it's nice.",Praise,Text
they're not really known for their customer service.,Complain,Text
"well, then let's all stop annoying each other",Prevent,Text+Video+Audio
that i actually ended up suppressing votes?,Flaunt,Text+Video+Audio
"it's not cool, it's not funny, and it's starting to make people uncomfortable.",Complain,Text
thank you.,Thank,Text
i'm doing this new curbside thing.,Inform,Text
"well, i really need ice cream cones.",Ask for help,Text+Video+Audio
"you know, it might be nice for parker to get some",Advise,Text
good. are you sick?,Care,Text
the reason i'm asking is we don't accept your insurance.,Inform,Text
i've got an idea. fire her ass.,Advise,Text
"hey, so what's the latest with operation",Care,Text
"oh, that's really great.",Praise,Text
ugh. what a waste of money.,Complain,Text
you're satan workers!,Taunt,Text+Video+Audio
"cindy, i'm gonna do that right now.",Leave,Text
"and unfortunately, it is supposed to rain.",Complain,Audio
it makes about as much sense,Inform,Video
i'm just gonna be a good old-fashioned cowboy.,Joke,Text+Video+Audio
he's just a wuss who's still afraid of his parents.,Taunt,Text
wow. cool shirts.,Praise,Text
sorry i'm late. sorry.,Apologise,Text
is how a man manages to make it to 60 without hitting puberty.,Taunt,Text+Video+Audio
"anyway, thank you for coming and talking to me.",Thank,Text
"like, you need to communicate better.",Advise,Text
"love the socks, by the way. so thoughtful.",Praise,Text
"no, no, no, it's called multi-level marketing.",Oppose,Text+Video+Audio
this display's my masterpiece right here.,Introduce,Text+Video+Audio
"how am i supposed to find $27,000 worth of stuff to repair in one day? there's just not that much stuff that's broken!",Complain,Text
"yeah, it just takes practice.",Comfort,Text+Video+Audio
that was- good breakthrough.,Praise,Text
this is great!,Praise,Text
"hey, you've got a thing coming up.",Inform,Text
"amy, us men of the store are tired of taking orders from a woman.",Complain,Text
"sandra, you have to stop.",Prevent,Text
"i mean, i do kind of have to go.",Leave,Text
"oh, okay, well, yeah. don't--do not give him that.",Prevent,Text
"guys, i sent carol to lunch so that we could talk about",Inform,Text
"i'm sorry, garrett",Apologise,Text
your fault because the two of you don't know,Criticize,Text
