Dialogue_id	Utterance_id	Text	Label	Start_timestamp	End_timestamp	Source	speakername	Video_Link	Modality
137	5	okay. um...	Acknowledge	00:11:30,383	00:11:31,884	superstore	Garrett	https://drive.google.com/file/d/18P9k9hfST6bTtm4xMRDmplhxDRiwr1Np/view	Text
1278	4	oh, damn it!	Complain	00:03:29,292	00:03:31,335	friends	Chandler	https://drive.google.com/file/d/1frGtLd6kAdRUI7UJTDVjZRIKp5UwCtjS/view	Text
1211	0	guys! guys! i've got great news. guess what.	Inform	00:00:02,962	00:00:05,715	friends	Chandler	https://drive.google.com/file/d/1GPna2LAC8S0xqriPkbkJeAezYh4ZN70v/view	Text
805	47	you guys are really sweet.	Praise	00:12:12,565	00:12:14,149	bigbang	Penny	https://drive.google.com/file/d/1BmTSxqX3iMXnPAIIqPFkV2k5RjVMgzPq/view	Text
1316	26	i don't think that's what this is.	Oppose	00:15:53,452	00:15:55,828	friends	Ross	https://drive.google.com/file/d/1yP4qoOHm3wlWilM76_DA72G-lO0LSjp4/view	Text
361	4	look, even if that was true, which i don't believe it is, you think i'm just going to start hauling ass in the 1-in-7-million chance that i'm going to sell the winning ticket?	Doubt	00:13:30,178	00:13:38,273	superstore	Garrett	https://drive.google.com/file/d/1bv-eXdwW5jjzLts0qdBHsQiksMheLUld/view	Text
1183	2	can't you guys open your minds to the possibility that i actually like her and might want something real?	Doubt	00:16:37,454	00:16:43,876	friends	Joey	https://drive.google.com/file/d/1Zo1cmG-7_023F75QN1jg8KYJ_0fosk4A/view	Text
1184	19	i haven't told you about that yet, have i?	Confirm	00:19:43,557	00:19:45,975	friends	Phoebe	https://drive.google.com/file/d/1iEDncnBeQnnVphGpSQlzxXuBukg3Q9lT/view	Text
1275	4	wait a minute. when you guys walked into the met, did you go to the right?	Confirm	00:21:45,637	00:21:50,182	friends	Ross	https://drive.google.com/file/d/1cHMsGEgfQ5QcaEltSKhghlAEruYzNIVN/view	Text
1245	7	well, thank you very much.	Thank	00:03:18,449	00:03:21,327	friends	Chandler	https://drive.google.com/file/d/1SoOEQeIn6u3nl7Vdj_L7YagBBE6oS-4C/view	Text
583	3	i mean, if you want to.	Explain	00:20:51,351	00:20:52,919	superstore	Jonah	https://drive.google.com/file/d/12yjr9SHfScPkSDPU697_VNR3_Ry0GE8T/view	Text
971	16	missy, i'm gonna go get my nails done. do you wanna come?	Invite	00:08:24,629	00:08:27,255	bigbang	Penny	https://drive.google.com/file/d/1sJthy71F-pZSaECuccRaUhHy8AWt_zG9/view	Text
197	2	um, your daughter is trying to have a conversation with you, so if you could put the cookie down, and try to engage meaningfully...	Advise	00:12:08,495	00:12:15,935	superstore	Amy	https://drive.google.com/file/d/1RloQkVD5lZ4xxg4NgmubBCLdKbQxxk7t/view	Text
1011	15	no, i can't log on and help you.	Refuse	00:11:31,399	00:11:33,024	bigbang	Sheldon	https://drive.google.com/file/d/1Jjg1dQ6aPJL7WCn--3zPN2OtjO2At1ec/view	Text
56	6	you are so strong.	Praise	00:15:59,742	00:16:02,445	superstore	Kelly	https://drive.google.com/file/d/167Fqa9nk8vXxgC7pzfL629YAntNeQW33/view	Text
1133	19	i lie better than that, right?	Confirm	00:15:24,173	00:15:27,091	friends	Joey	https://drive.google.com/file/d/1BYayh37nlTUtZmJx1LzEfWtFZTpkuIga/view	Text
992	1	thank you. so do you.	Thank	00:18:34,947	00:18:36,447	bigbang	Penny	https://drive.google.com/file/d/1vghXX5u6AaTjydgKx8Q2ryziT-d7TcDH/view	Text
95	5	yeah, definitely.	Agree	00:12:23,610	00:12:24,811	superstore	Dina	https://drive.google.com/file/d/1q9xC-M9onKFFHcrkB7sphzFeGmyDM9uW/view	Text
498	2	cool. cool. yeah, i was just making sure.	Confirm	00:19:40,246	00:19:42,815	superstore	Dina	https://drive.google.com/file/d/1CcTbkaymOZKZGq-YcjSJ-towcikwKcoA/view	Video+Text
280	6	wow. you're really the hero of that story.	Praise	00:06:59,219	00:07:02,455	superstore	Amy	https://drive.google.com/file/d/1WpPiXeVguEHIBS5REWhcPL8-eGW4LObF/view	Text
930	4	oh.	Acknowledge	00:14:50,139	00:14:51,681	bigbang	big bang person1	https://drive.google.com/file/d/1m27sYqMJK4bbyh-J0-VxcYsHQukgLWOq/view	Text
206	8	you are a very, very boring woman.	Criticize	00:02:00,020	00:02:03,323	superstore	Tate	https://drive.google.com/file/d/1M9gdQL1K6w39jDo05Z2HQmFk3P7JcdOT/view	Text
361	0	hey, you're scaring off customers.	Criticize	00:13:15,946	00:13:17,731	superstore	Dina	https://drive.google.com/file/d/15uTbG3n2Sg6789DkRAoPADpvY6vG9Y4E/view	Text
582	8	i should probably get back out there.	Leave	00:18:53,600	00:18:56,236	superstore	Jonah	https://drive.google.com/file/d/1YhdqThxS_bttihwAw5BB71LRAYsHfug3/view	Text
1124	3	i'm sorry. we'll take you shopping. it'll be fine.	Apologise	00:04:14,254	00:04:16,755	friends	Monica	https://drive.google.com/file/d/1a8wX69qsrUuDJ9P4Qzs9dUH7E1HQTXO_/view	Text
258	4	you know, someone to help you and watch over you?	Advise	00:09:09,782	00:09:13,720	superstore	Glenn	https://drive.google.com/file/d/1aF1mcUAJ84_hf5VuvcJZsTBuGwaztL7i/view	Audio+Text
962	1	the colors are based on star trek: the original series.	Introduce	00:06:36,521	00:06:39,106	bigbang	Sheldon	https://drive.google.com/file/d/1SuwoflUZ_lJGmm5vcTpP9CTndYhZ7tbT/view	Text
1140	1	don't you think it's better for him to think you're cheating on me than for him to think i'm cheating on him?	Doubt	00:10:38,179	00:10:43,475	friends	Chandler	https://drive.google.com/file/d/1MNcd596p5qCbHe3rf3UWHaWlBh1UMFOX/view	Text
1236	1	hi. glad you could come.	Greet	00:19:40,167	00:19:42,502	friends	Monica	https://drive.google.com/file/d/1RicNnotSyMcNrhU-6QPTU6FUzfz0JDX5/view	Text
824	12	no, i'm done with penny.	Oppose	00:04:28,059	00:04:29,351	bigbang	Leonard	https://drive.google.com/file/d/1aDNeXC_C2Y7xnbYb7d4cQFmc8sTqtdBv/view	Text
1055	6	it's my understanding that an unsolicited gift of food can be a precursor to an impromptu invitation to come in and chat.	Explain	00:10:01,642	00:10:09,399	bigbang	Sheldon	https://drive.google.com/file/d/1Dxu259dCac2YKFglAKPnSS-YcQncuiEE/view	Text
825	3	wait, are you asking me out?	Confirm	00:05:56,439	00:05:58,774	bigbang	Bernadette	https://drive.google.com/file/d/1IUpPOeGIkv4E8eakxbD7u2CZxsilS7B2/view	Text
1109	1	maybe we should just eat now.	Advise	00:11:44,161	00:11:45,662	friends	Joey	https://drive.google.com/file/d/1vecSwpm-EdXp0FrmWv25AKUp9RCGzcKh/view	Text
1170	1	well, it's not okay, because i gave a very memorable performance as the nurse.	Explain	00:15:56,538	00:16:01,167	friends	Phoebe	https://drive.google.com/file/d/1PzoFDidRmNchCestBz9pGR42q9G_7h2z/view	Video+Text
1053	8	it took 20 minutes to go through the browser history on your computer to see what movie times you looked up.	Explain	00:07:01,129	00:07:06,675	bigbang	Sheldon	https://drive.google.com/file/d/1_pslWeBDXzojXVTkf_8j6ie5qE3Bwc4I/view	Text
723	2	how far would i have to drive to see a prairie?	Asking for opinions	00:18:58,772	00:19:03,744	superstore	Glenn	https://drive.google.com/file/d/1EXB6iu4BmbXqX-bLfB--V3m4Fww6Hscm/view	Text
57	2	what? i was just saying she had really great skin.	Explain	00:16:20,797	00:16:24,200	superstore	superstore person2	https://drive.google.com/file/d/1I6KWuVCB36l1bZmqjZPcJQjEG79_ZxBM/view	Text
727	4	'cause i hired miles and lisa, and now they're in love.	Explain	00:01:46,900	00:01:51,271	superstore	Glenn	https://drive.google.com/file/d/1jhSp4Wh9rNnC1cdtK4ZXJ7hy-qtaef9H/view	Text
800	5	this is a code orange toxic event.	Warn	00:19:13,761	00:19:16,129	superstore	Dina	https://drive.google.com/file/d/19vvzcFkir73Dl1oG0FvP8GgTCkBwkkJ0/view	Video+Text
174	11	okay, everyone, i made some quick shift assignment changes.	Inform	00:12:44,664	00:12:47,500	superstore	Amy	https://drive.google.com/file/d/1yHAVZ_AJzMhWKv1WjTur3_X-SbDPKCGF/view	Text
748	0	ooh, it is pleasant as hell in here.	Praise	00:03:15,756	00:03:18,692	superstore	Garrett	https://drive.google.com/file/d/1lGcjsgvLVzAM3NxB_fHh5K7ENUAjdZek/view	Text
725	3	you know, baby steps, right?	Confirm	00:20:50,150	00:20:52,686	superstore	Cheyenne	https://drive.google.com/file/d/1iq-gimh8oeCpx5FOUdd9NBmRAm1yxNJr/view	Text
926	2	so don't call her.	Advise	00:05:35,710	00:05:37,127	bigbang	Leonard	https://drive.google.com/file/d/127KthpRMbhAAYA6_PYqz24JTTPnoUqgE/view	Text
858	3	what are you gonna do about it?	Asking for opinions	00:12:23,076	00:12:25,278	superstore	Nico	https://drive.google.com/file/d/178u0frNVGkov5qW2lUoXpFsp6osINPs4/view	Text
1025	8	howard wolowitz, department of engineering co-designer of the international space station's liquid-waste-disposal system.	Introduce	00:03:43,848	00:03:50,979	bigbang	Howard	https://drive.google.com/file/d/1HTnV4KRMYtLgtE4gAk4Cj7uv8MHbltqH/view	Text
61	0	uh, you know, it's fine.	Comfort	00:19:07,163	00:19:09,732	superstore	superstore person2	https://drive.google.com/file/d/1Jd5XNbHJja34dpQW8jhhjcgIjgEgwykY/view	Text
254	4	i mean, i'm not a very good negotiator.	Explain	00:06:28,905	00:06:30,740	superstore	Nico	https://drive.google.com/file/d/1wG4gGSe98dLmANrah6cmBW9G3ZodOoPr/view	Text
1011	7	oh, yeah, well, you wouldn't even be nominated.	Taunt	00:10:51,233	00:10:55,278	bigbang	Sheldon	https://drive.google.com/file/d/1qNjo11of6CdMvSJX-t87qix0lqtXYhZE/view	Text
392	5	amy has the floor.	Arrange	00:01:52,076	00:01:53,991	superstore	Glenn	https://drive.google.com/file/d/1eEAiCNq75lqQLxmmrkQ3zo7NC8i0lvWh/view	Video+Text
337	6	no, just some guy that i've gone on a couple dates with.	Oppose	00:13:20,473	00:13:23,345	superstore	Amy	https://drive.google.com/file/d/1rnKD4rShURwKvSHaYMjDkLhedDnQ2dSG/view	Text
436	7	it's a beautiful country.	Praise	00:06:13,040	00:06:16,143	superstore	Nico	https://drive.google.com/file/d/16aS4fz7VAU4k9CzA-bK2ThteMIINSXWC/view	Text
1215	13	so?	Doubt	00:13:30,560	00:13:31,603	friends	Monica	https://drive.google.com/file/d/1LFjnnvlL8c0PTdoLHsZ0MK89abS7FD0g/view	Audio+Text
1178	3	because i could get a job any day now.	Explain	00:09:46,544	00:09:50,213	friends	Chandler	https://drive.google.com/file/d/114HKJKvo0Yln5uXltxGnO3HFXeiNqgcr/view	Text
139	1	this is the worst.	Complain	00:13:01,841	00:13:04,711	superstore	Amy	https://drive.google.com/file/d/1To4HoOT5AoA0V35dV6oGwKhuU7OdwbuJ/view	Text
96	3	mateo, i want to apologize, both for the things that i said about you, and for thinking that you would ever make up a customer.	Apologise	00:12:47,600	00:12:55,708	superstore	Glenn	https://drive.google.com/file/d/1DY16z8k1rDeviIOXTtLkLUc1m-Q-VfZ9/view	Text
396	3	come up to the front. amanda, way back.	Arrange	00:06:31,939	00:06:34,071	superstore	Dina	https://drive.google.com/file/d/1Rx_mYbyBtXdxTXreYGdapdDzz9WCYTOm/view	Text
1185	12	see, gavin. you're capable of being a nice guy.	Praise	00:21:37,337	00:21:41,757	friends	Rachel	https://drive.google.com/file/d/1go44faNbZqcx6udQ_Tlfqmw4SdhREltM/view	Text
896	3	really?	Doubt	00:05:58,483	00:05:59,775	bigbang	Leonard	https://drive.google.com/file/d/1lIfA2LxNBoim9W0X9ODDWh6SCchOF86r/view	Text
689	9	you are management, so you're most at fault here.	Criticize	00:03:57,397	00:04:00,801	superstore	Jeff	https://drive.google.com/file/d/1RT0VmVhu-poGY9aUbmlrLwRlodLUqOSu/view	Text
1270	7	look, i know this is embarrassing, but nobody cares.	Comfort	00:13:20,257	00:13:23,134	friends	Monica	https://drive.google.com/file/d/1iZ_rcy9twwZMxUhvPTuPZmA2XFhS002Q/view	Text
1189	22	so seriously, rodeo clown?	Doubt	00:14:38,378	00:14:40,547	friends	Rachel	https://drive.google.com/file/d/1R9dy-DY_gvaMNyi5Vg4tNPg5dnBVk2-i/view	Text
1308	19	let's wake up emma and get the fun time started!	Advise	00:04:17,924	00:04:20,217	friends	Monica	https://drive.google.com/file/d/1e-TrzshRC6YaFndbT7Ogzs2WoD7sCi-s/view	Text
685	4	adam's sleeping in the basement.	Inform	00:20:11,411	00:20:15,348	superstore	Amy	https://drive.google.com/file/d/1KS0JMClqJIqGXgqIN_f4eOWLyQJ39v2b/view	Text
36	9	your ass? yeah, uh, obviously, i could-sure.	Agree	00:16:37,530	00:16:40,867	superstore	Jonah	https://drive.google.com/file/d/1yUMNFBil1hEhttNLmeGGsK7sNQKDkHil/view	Text
930	6	well, thanks.	Thank	00:15:04,862	00:15:06,487	bigbang	big bang person1	https://drive.google.com/file/d/1o7XfUuayOJcuV4Lm5xtIaBf7hwHk0f08/view	Text
52	3	wait, why did elias want to be dame edna?	Doubt	00:11:24,501	00:11:26,369	superstore	Nico	https://drive.google.com/file/d/13J8u1PlUo8PwfgxQPrupAakrIixzpofl/view	Text
718	3	he's gonna be fine.	Comfort	00:13:44,698	00:13:47,000	superstore	Nico	https://drive.google.com/file/d/1QevAJ90pWzoojoVDmcqIy0GVYvniWKEM/view	Text
135	10	okay, i need three of you to help me unload a truck.	Arrange	00:10:07,900	00:10:11,271	superstore	Amy	https://drive.google.com/file/d/1Zj0TQln66nwS2JdwrlJqxe55L1V-vCkB/view	Text
1050	8	hello, howard.	Greet	00:18:15,219	00:18:16,260	bigbang	big bang person1	https://drive.google.com/file/d/1Zm10HRLupTFg9CI0iGNB9wRdoM-439en/view	Text
1131	8	amy, don't cry.	Comfort	00:07:32,994	00:07:36,788	friends	Rachel	https://drive.google.com/file/d/18w01RueSPfz55TKkG1PA58h-Fpgsp21Z/view	Text
112	12	uh, yeah. jerry, hi. you made it.	Greet	00:08:26,539	00:08:30,277	superstore	Amy	https://drive.google.com/file/d/12l-bod4W4V6i3M4qzzTImBayf67oW7GW/view	Text
915	7	oh.... i don't think she's a whore.	Oppose	00:02:17,512	00:02:19,471	bigbang	Leonard	https://drive.google.com/file/d/1OGFw1-NP-GRa3ikbBevZq_qPcG7cP5gj/view	Text
180	6	it'll be fine, you guys.	Comfort	00:18:36,382	00:18:38,284	superstore	Nico	https://drive.google.com/file/d/1n96HKIpYfqQ-04d-bTkxZgSUaGp90ERj/view	Text
7	4	you could join us if you want.	Invite	00:06:46,273	00:06:47,607	superstore	Justine	https://drive.google.com/file/d/1iG_qAKSLQifM0XVXhHjTaAS7039QSx35/view	Text
1059	14	are you insane? now she's gonna think i'm desperate.	Complain	00:19:37,676	00:19:41,012	bigbang	Leonard	https://drive.google.com/file/d/1QeoHTbjva5uYRE2dipULXLchnB6VVp3X/view	Text
208	10	excuse me. jessica.	Greet	00:03:21,001	00:03:24,004	superstore	Dina	https://drive.google.com/file/d/1DXN-Jkmxr0i-DB1SMNBMSUINHP1skWqZ/view	Text
157	0	look, dina. i just think that you're holding in a lot of pent-up emotion and that it's good to talk about these things.	Explain	00:14:34,306	00:14:41,180	superstore	Amy	https://drive.google.com/file/d/1N-Uai28Lhrwh0A6huDpYMaO7uzFgiQZM/view	Text
1175	4	you can't keep a rat in your apartment. they're extremely unsanitary.	Oppose	00:03:11,608	00:03:14,526	friends	friends person1	https://drive.google.com/file/d/1m669owCUXNZlnS3jkxf2gwVqEm5qyZwb/view	Audio+Text
881	4	can jonah have an extra long lunch?	Asking for opinions	00:09:32,199	00:09:34,101	superstore	Glenn	https://drive.google.com/file/d/141Di3mhK-gHOLCTl-QYz0PN1itEjLj10/view	Text
1287	1	hey, chandler.	Greet	00:24:00,230	00:24:02,398	friends	friends person1	https://drive.google.com/file/d/1RX7K-Pfb7PP2cmUSmeTvtURGZNaAl3_k/view	Text
947	7	what?	Doubt	00:16:36,578	00:16:37,620	bigbang	Penny	https://drive.google.com/file/d/1NritQIyufQ_k8CH0OwcOGp0PM6HqzHlx/view	Text
754	6	because the--the heat.	Explain	00:07:08,421	00:07:09,556	superstore	Jonah	https://drive.google.com/file/d/16kcWfdQU-LHNp1znQayoSf12yd9Ja6ch/view	Text
714	4	it's fine? this is ladies' lunch, sandra.	Doubt	00:09:08,389	00:09:10,458	superstore	Dina	https://drive.google.com/file/d/1IDrmdKXQsi87sXAChmRk-50lYAIBTe04/view	Text
1260	5	i mean, that's like calling albert einstein... albie.	Explain	00:14:52,963	00:14:59,011	friends	Ross	https://drive.google.com/file/d/1kdwS56OF8WcOyKBgfHzMGdPc9nEn2Oyn/view	Text
1024	4	if you don't do this, i won't take you to the comic-book store.	Warn	00:00:48,048	00:00:52,259	bigbang	Leonard	https://drive.google.com/file/d/1bDhPyndTxPA1nZ5f7Jb8EVXjg3hLJE6o/view	Text
1092	5	and, uh, you're thinking of taking it?	Asking for opinions	00:14:42,840	00:14:45,758	friends	Chandler	https://drive.google.com/file/d/1RZBsQUHFN0-gyPzcTlVewgjoq4ov597v/view	Text
609	10	i was just a little-marcus!	Prevent	00:20:45,094	00:20:46,362	superstore	Amy	https://drive.google.com/file/d/1Mk9Ic3ww36qA7hc6sxTJFXiXzjYTWs3f/view	Audio+Video+Text
805	17	that's probably enough about us. so tell us about you.	Invite	00:09:07,713	00:09:10,590	bigbang	Leonard	https://drive.google.com/file/d/10vj1tEsiOiu1kDLcszfzG17U-em9Sx19/view	Audio+Text
479	1	todd, keep sal at least 100 feet away from women's wear.	Arrange	00:05:39,973	00:05:42,142	superstore	Amy	https://drive.google.com/file/d/1TlZXo5sqSeW-nrlgTq9CYD63ywPAyZm6/view	Text
584	1	there are going to be millions of new customers in here, and you're focused on the chewing gum?	Doubt	00:00:08,176	00:00:11,812	superstore	Dina	https://drive.google.com/file/d/12YPNnrgXUOpuokYE6S355XT7LhLuYqK-/view	Text
1024	5	hello.	Greet	00:00:54,637	00:00:56,221	bigbang	Sheldon	https://drive.google.com/file/d/1qITKCV8BG7FeQY62v6uwBdsYHZ1Hq6AL/view	Text
894	7	the hindu gods against the entire union army?	Doubt	00:00:36,077	00:00:38,579	bigbang	Howard	https://drive.google.com/file/d/1fpweTHK5vWzZCMt6hxHDDsnaWKDyAhH2/view	Text
541	12	i'm tired myself.	Complain	00:21:01,147	00:21:02,314	superstore	Jonah	https://drive.google.com/file/d/1cpKl0v_WSf4YBlLXjMLN6BaG_p2OSDby/view	Text
1069	8	well, get back in there. i'll guard the door.	Taunt	00:13:23,135	00:13:25,553	friends	friends person1	https://drive.google.com/file/d/16d_KE9pAZPvnAYCJ0xJrVc50J_3hhDyx/view	Audio+Video+Text
73	9	hey, uh, thank you for your service.	Thank	00:11:21,058	00:11:23,026	superstore	Nico	https://drive.google.com/file/d/1_c4TkEpCOk0eT68j5sGAVdDBuTDwv63C/view	Text
988	13	are you asking me out?	Confirm	00:10:04,687	00:10:06,021	bigbang	Penny	https://drive.google.com/file/d/1bXgmVaut5pvQpFnP9uZTPtWbXxfy5GoW/view	Text
1191	7	this is great. rachel's gonna keep kissing guys until she finds the one she wants, and i'm gonna die alone.	Complain	00:16:43,211	00:16:50,385	friends	Ross	https://drive.google.com/file/d/1-1nmrIUrgkgMRJq7mmkIk0iDmNFDbhFh/view	Text
807	9	no, sheldon, there's not going to be a scene.	Oppose	00:17:02,521	00:17:05,023	bigbang	Leonard	https://drive.google.com/file/d/1uLzSDPd_gq2vBPVtGafwHZlSOsk5i6RK/view	Text
1195	8	we should do something manly to make up for it.	Advise	00:24:06,696	00:24:09,157	friends	Joey	https://drive.google.com/file/d/1MY42NaSz7GoX1xHgbnTOmOS5c2pjgO5G/view	Text
534	1	you can just give up.	Advise	00:11:19,932	00:11:23,170	superstore	Amy	https://drive.google.com/file/d/1yriZwd6_pCpYs9bw4FREYLDqhSLfh7gW/view	Text
1322	5	no. no, we ended on great terms.	Oppose	00:04:43,283	00:04:45,575	friends	friends person1	https://drive.google.com/file/d/1ZTC8pNPX4R3uh1OFteua488MioekNYGN/view	Text
1221	9	look, look, i know my marriages didn't exactly work out but, you know, i loved being that committed to another person.	Inform	00:15:27,093	00:15:34,392	friends	Ross	https://drive.google.com/file/d/15N6SDkAxaxPcoQZMQcMLbm5nRataohaO/view	
