season	episode	clip	text	label
S05	E16	244	oh, i would do anything for some crack right now.	complain
S05	E16	446	something crazy is happening.	inform
S04	E12	104	i don't know why you guys lock up the razor blades.	complain
S04	E12	168	let's just help ourselves to whatever we need:	inform
S05	E02	21	the old lady who spits at her on the bus?	joke
S05	E15	146	please have a seat.	arrange
S05	E15	73	i need you to act casual.	arrange
S05	E08	182	i shouldn't have to leave because you're a bad manager.	taunt
S04	E01	42	or you guys can just use your phones for all that stuff.	inform
S05	E18	321	just--come on, jonah. please do the voice.	ask_help
S06	E07	442	i have wood floors. it gets dusty.	inform
S05	E07	61	okay, well, maya can't fire you	comfort
S05	E15	120	probably gonna have to take that plant outside for sun	advise
S06	E02	134	please stop. this is hurting me.	prevent
S05	E09	258	no, you're gonna stand outside	arrange
S04	E04	51	i thought you were a dirty pile of laundry.	taunt
S05	E09	379	well, i guess i'll go get my pumpkin spice salsa by myself, like it's 1950.	complain
S05	E16	176	heads up, spill in produce	inform
S06	E03	247	so be a gentleman. go with the lights out.	advise
S04	E11	42	oh, she probably thinks she's so great	taunt
S05	E20	106	nice to meet you.	leave
S05	E19	278	i'm gonna stop you right there.	prevent
S05	E16	355	you made your point.	inform
S06	E10	280	oh, no, i hate to hear that.	complain
S05	E13	383	a chunk of my hair fell out, and i will not be bald for my wedding!	complain
S05	E09	538	this is her fault.	criticize
S05	E07	138	excuse me just one second.	leave
S04	E03	317	oh, wow, jonah had a little comment, shocking.	inform
S05	E21	90	just ask your friends to chip in	advise
S06	E03	502	and every zone captain should have a walkie-talkie.	advise
S04	E17	325	poor garrett, pining after a woman	taunt
S04	E07	256	no, i am mad. you're an idiot.	taunt
S05	E15	318	it'll be easier on yourself if you confess.	advise
S05	E15	291	oh, no. come on, this is nothing.	comfort
S06	E05	128	and i wish there was something i could do to make it up to the black employees.	inform
S05	E13	231	look, i'm not saying it like it's a bad thing.	oppose
S05	E12	330	oh, dad, this is my boss, amy. show her your belt buckle.	introduce
S04	E05	197	oh, boy. mr. hilarious at work.	joke
S04	E12	51	i asked you for candy cane.	criticize
S05	E09	246	jonah, your last order took 33 minutes.	criticize
S04	E08	392	we get all this free stuff	flaunt
S05	E21	10	i have my ways.	flaunt
S05	E17	52	garrett, you're only giving packages to people with wristbands.	arrange
S06	E07	412	you're gorgeous like a vodka girl.	joke
S05	E14	404	and now, i'm going to pass it on to the best man, jerry's best friend, garrett.	introduce
S04	E11	207	stop talking to me!	leave
S05	E09	213	he has a cutie patootie. we're all good-looking.	flaunt
S05	E17	406	this is a class c felony.	criticize
S05	E17	115	sucked up any change.	leave
S05	E02	191	give that vino to me-no.	joke
S04	E06	190	i have a great sense of humor.	flaunt
S04	E07	418	look, we just want what's going to make you happy	comfort
S05	E17	243	just messing with you, spongebob.	joke
S06	E07	404	i'm not disinfecting everything for my health.	complain
S05	E15	309	you stay right here. i'm gonna be right back.	leave
S05	E10	13	oh, jonah, little negotiating tip--	advise
S05	E12	476	okay, my bad.	apologise
S05	E07	329	you need to take this seriously.	advise
S04	E03	180	oh, so anytime a woman tells you what to do, it's shrieking?	criticize
S05	E12	112	all organic, and only $13.	introduce
S04	E17	493	ow! what the hell, cheyenne?	criticize
S05	E17	590	it will, amy. i'm gorgeous.	flaunt
S04	E04	407	let's meet our first contestant, marcus white!	inform
S04	E16	297	as of now, i don't know the bunny's preferences	inform
S06	E10	392	hmm. damn. i really thought we were vibing.	complain
S04	E03	177	you're spraying all-purpose cleaner on the fruit?	criticize
S05	E21	506	i wish you could see this. you're really struggling.	taunt
S05	E16	457	you calm down. you're always starting stuff!	criticize
S05	E10	417	we're gonna take a sidebar.	leave
S04	E01	93	you can just stick it in the... in the p-photo lab.	arrange
S05	E06	9	first, we're gonna be handing out goodie bags to the kids.	arrange
S06	E10	424	excuse me. you can't be in here.	prevent
S04	E04	200	funny little people.	joke
S05	E06	501	uh, i am so honored to receive this sprite	flaunt
S05	E13	482	look, mateo never got a work permit.	inform
S05	E14	59	no rush. no rush at all.	comfort
S04	E04	87	dina! what do i do? should i jump the railing?	ask_help
S05	E16	317	you're a locker-licker too?	joke
S04	E14	19	and guys, i say this a lot,but we really need to wet down those raccoon droppings before we sweep.	inform
S05	E02	95	tay-tay and tine-tine: the slut squad.	joke
S05	E13	365	okay, that doesn't even make sense.	oppose
S06	E01	172	everybody in single-file lines.	arrange
S06	E01	117	ah, he's just putting on a show.	taunt
S05	E07	161	listen up, scrodes.	inform
S04	E01	155	god, get over yourself.	taunt
S05	E15	283	oh, thank god.	leave
S05	E06	244	you guys, i am dying right now.	joke
S04	E16	184	i love it.  like totally lies.	taunt
S04	E16	222	he's the disciple that betrayed jesus.	criticize
S05	E09	142	this isn't a library! come on, read and run!	arrange
S05	E15	349	whatever you're doing, bottle that	arrange
S04	E09	27	oh, um, that sounds like a lot work	complain
S05	E14	184	things have a way of working out for sandra.	comfort
S04	E07	512	and your dad abandoned you at a gas station?	taunt
S05	E16	345	well, we can try. come on, dina.	leave
S04	E04	23	that's like six weeks away.	inform
S06	E08	54	mom, come on.	prevent
S06	E03	370	ah, too much clothing for this horndog.	taunt
S04	E12	462	i'm prediabetic.	inform
S06	E06	88	flooding in the attic and the basement.	inform
S05	E15	375	okay, and if you could just get me that number by the end of the day, that'd be great.	arrange
S04	E08	43	i'm sorry, the tickets are non-transferable.	inform
S04	E09	453	so let me know if any of these feel right to you.	inform
S04	E17	473	you don't have to edit it. i'll take care of that.	inform
S05	E15	20	i knew from before. i knew, like, two hours ago.	flaunt
S05	E11	334	come on. give me a chance.	ask_help
S04	E13	380	i was expecting you to side with me over dina.	complain
S05	E17	143	oh, maybe i should call you mommy.	joke
S05	E10	66	we doing a dystopian nightmare christmas this year?	joke
S04	E11	343	my scanner's not working. we can't figure out why.	ask_help
S05	E17	239	seems like people would rather die than eat that stuff.	taunt
S05	E07	543	alex, could you--thank you.	ask_help
S04	E10	145	and you got that from pants?	joke
S05	E06	265	yep. she's my cowgirl.	introduce
S05	E12	42	there's 1,000 bucks in it. i already opened it.	introduce
S05	E06	408	if i run too fast, i become airborne.	joke
S04	E11	184	sandra! bathroom duty!	arrange
S05	E08	414	the point is that this guy is a jerk	criticize
S05	E17	237	so i keep this cabinet full of healthy snacks for everyone.	introduce
S06	E06	474	something you'd like to share with the class, turd melon?	taunt
S06	E04	444	let's all come together for marcus.	inform
S05	E13	59	okay. here's the plan.	introduce
S05	E16	400	that was so important you needed to read it	advise
S04	E14	386	he's always doing stuff with his hair.	complain
S05	E11	463	and you're on the phone.	joke
S06	E07	355	guys, i'm gonna be a little busy around 2:00 p.m. don't even ask me what i'm doing. it's private.	flaunt
S05	E16	197	it's a meme of indiana jones cracking his whip.	introduce
S04	E09	365	attention shoppers: it's 10 degrees fahrenheit outside,so why not take home a frosty case of ice pops?	inform
S04	E16	391	running hard, water bad.	joke
S05	E17	15	to the nearest dollar for charity.	arrange
S05	E13	193	oh, okay. well, um, i have worked here	introduce
S05	E07	87	i need someone to help me run my shoplifter rehab course.	ask_help
S05	E14	402	remember to moisturize, okay?	advise
S05	E20	24	my advice--don't get lost in the siblings.	advise
S05	E09	141	all right.	leave
S05	E15	508	i'm not on board with--i didn't even know the diaper part.	oppose
S05	E12	493	it's too late. you missed everything.	criticize
S05	E21	378	look, sandra, i gotta say something here.	inform
S05	E06	74	ah, see? there's always a catch.	taunt
S05	E15	113	speaking of cereal, you sound just like tony the tiger.	joke
S05	E11	151	and i need a floor supervisor	ask_help
S04	E11	85	it lowers your blood pressure and increases your lifespan.	introduce
