Text,ground_label,modality
"ugh, calm down.",Taunt,Text+Video+Audio
what?  match?  i didn't--how--how did that happen?,Complain,Audio+Video
"no, i didn't.",Oppose,Text
"i swiped left, like this.",Introduce,Text+Video+Audio
"it's like eating a birthday candle, only in a good way.",Joke,Text+Video+Audio
"garrett, what do i do?",Ask for help,Text
"tell her you stole jonah's phone, and you were stalking her on it.",Advise,Text+Video+Audio
"okay, that's not gonna happen.",Oppose,Text
"i was thinking more like, i could sneak up like a ninja, take her phone, cancel the notification, and then slip it in without her noticing.",Plan,Text
"i could cText+Video+Audio him up, have him hack into kelly's phone, and melt her motherboard.",Plan,Text+Video+Audio
"yes, cText+Video+Audio the guy.",Agree,Text+Video+Audio
i'm messing with you.,Joke,Text+Video+Audio
kelly.,Greet,Text
"hey, girl.",Greet,Text
"um, i--i meant to ask you earlier...",Explain,Text
could i borrow your phone?,Ask for help,Text
"yeah, mine is soaked.",Explain,Text+Video+Audio
"not in the toilet, in a...",Explain,Text+Video+Audio
"thanks. oh, it's--",Thank,Text
why are you being so weird about your code?,Doubt,Text+Video
thanks.,Thank,Text
"thanks, you're a lifesaver.",Thank,Text
what do you think?,Asking for opinions,Text
"you're a genius.   well i mean, not literText+Video+Audioy, but you know.",Praise,Text
well done!,Praise,Text
"well, yep, you guys--you got me.",Agree,Text
"yeah, you know honestly, you reText+Video+Audioy committed.",Praise,Text+Video+Audio
i'm impressed. i was almost scared.,Praise,Text
thanks.,Thank,Text
i watch a lot of lifetime movies.,Explain,Text+Video+Audio
"well, i'm gonna go wash Text+Video+Audio this blood off...",Leave,Text
i just wanted you to know that i was reText+Video+Audioy not trying to make fun of you.,Explain,Text
it was an accident.,Explain,Text
it's okay. i mean...,Comfort,Text+Video+Audio
"i know, right?",Agree,Text+Video+Audio
"i just, like, couldn't stop.",Explain,Text
"well, thank you for being cool about it.",Thank,Text
"yeah. i mean, if anything, i should thank you.",Thank,Text
"oh, good.",Praise,Text+Video
sorry about the questioning.,Apologise,Text
"just had to make sure you were real coroners, and not just here for hummus or something.",Explain,Text
"sure, yeah.",Agree,Text+Video
and you didn't touch the body?,Confirm,Text+Video+Audio
absolutely not.,Oppose,Text
"like, before i was married, when i was in high school, i was...   wild.",Introduce,Text+Video
"okay, well, we're not in stupid angola, marcus.",Oppose,Text
but nice try.,Praise,Text
"no, i did do that.",Oppose,Text
cText+Video+Audio him. okay. i will.,Arrange,Text+Video+Audio
ha ha. chickened out.,Taunt,Text
couldn't even ask about the car.,Taunt,Text+Video
this coffee is... terrible.,Complain,Text
"awful. yeah, tastes like piss.",Complain,Text
"yeah, kind of. yeah.",Agree,Text+Video
"um, i told my coworkers that i stole a car in 10th grade, and they didn't believe me.",Explain,Text
so i just need adam to verify that.,Ask for help,Text+Video+Audio
she did. 10th grade.,Agree,Text+Video+Audio
"uh, sure. yes.",Agree,Text
but me and bridge have been seeing each other.,Inform,Audio
"okay, guys, it's fine. look, adam's moving on.",Comfort,Text
so we're both killing it. we should go.,Leave,Text+Video+Audio
we have to wait for the scooter to charge.,Prevent,Text+Video+Audio
"you wouldn't happen to have a scale we could use, would you?",Confirm,Text
"i was diluting it to make more, okay?",Explain,Text
they have a pool table and one of those video poker machines...,Introduce,Text
"oh, well, that sounds festive.",Praise,Text
just a woman going insane.,Criticize,Text
don't even think about it.,Oppose,Text+Video+Audio
"i know i never explicitly said not to post videos of rat infestations in the kitchen, but i thought i didn't need to.",Inform,Audio
i should have watched the video before i posted it.,Apologise,Text+Video+Audio
"oh, my god. thank you so much.",Thank,Text
"okay, i'm gonna start compiling a list of Text+Video+Audio the things we should not be posting about, starting with farting in cups and rat infestations.",Inform,Text
"again, didn't know the rats were there.",Emphasize,Text+Video+Audio
that's something that we shouldn't post online.,Explain,Text
i was just trying to prove that i could make a video that could get a bunch of views.,Explain,Text
does this have something to do with jonah dating kelly?,Confirm,Text
we were gonna keep that a secret.,Explain,Text+Video
"well, then maybe you shouldn't have posted about it on the internet.",Advise,Text
are we cText+Video+Audioing it a relationship?,Confirm,Text+Video+Audio
"oh, it's okay. it's fine. it's great, actuText+Video+Audioy.",Comfort,Text
"you know, sometimes when you aren't happy, it's better to be divorced than to stay in the marriage.",Comfort,Text+Video+Audio
"well, thank you. thanks.",Thank,Text
i am going to put that where people put things like this.,Plan,Text
"i mean, we can't leave. they're denying us food.",Complain,Text+Video+Audio
not Text+Video+Audioowed to watch the golden globes.,Complain,Text+Video
emma's not coming! she never was.,Oppose,Text
we're on our own.,Inform,Text
"yeah, nice and tight.",Praise,Text+Video+Audio
so dig in. garrett?,Invite,Text
"uh, what, me? wow, thank you.",Thank,Text
"ugh, always do that.",Complain,Audio+Video
"but when i see meat that looks that delicious, i have to make an exception.",Praise,Text+Video+Audio
"no, dina, you don't have to eat that.",Prevent,Text
i'm going to eat a bird now.,Plan,Text
i'm going to eat a bird now.,Plan,Text
"i'm gonna-wow, but is it worth it for that taste!",Praise,Text+Video+Audio
sorry. i almost fell.,Apologise,Text
does that mean that Text+Video+Audioah is the one true god?,Inform,Audio
scary. were you in it at the time?,Care,Text+Video+Audio
"oh, right. blonde moment.",Agree,Text+Video+Audio
"yeah, so anyway, everything i own is gone, and now i'm--i'm living in a fema trailer.",Complain,Text+Video
"so in a way, you're officiText+Video+Audioy trailer trash now?",Taunt,Text+Video+Audio
ha. admits it.,Taunt,Text
oh. why don't you move into garrett's apartment?,Advise,Text
no! no.,Oppose,Text
jonah doesn't want to live with a roommate. he's an adult.,Explain,Text+Video
"yeah, no. i--i mean, i--i would, i would love that, but i would never-i would never impose.",Explain,Text
"but i mean, it wouldn't be a problem. i could do it.",Explain,Text
it's just that it's... reText+Video+Audioy cramped.,Complain,Text
"sure, sure, yeah.",Agree,Text
excuse me. gotta go.,Leave,Text
"so, uh, how are things at home?",Care,Text
emma. how's--how's emma?,Care,Text
"oh, wow. uh, that's exciting. teenager.",Praise,Text
do we have to?,Doubt,Text
"oh, yeah, no, i mean, i'd rather not, if you don't need to.",Explain,Text
no! i don't. i don't need to.,Oppose,Text
"hey, what's going on, buddy?",Care,Text
classic marcus.,Joke,Text+Video+Audio
"hey, listen, i've been thinking we should kick mateo out of the friend group.",Advise,Text
how come no one ever told me that i sounded like that?,Complain,Text
but that's not how i sound on the inside!,Complain,Audio+Video
not what you hear. what i hear.,Emphasize,Text+Video+Audio
"okay, i found a costume shop with two minion costumes.",Inform,Text
yeah. it's preposterous.,Agree,Text
"i wasn't listening. the point is, you two should go right now and pick them up.",Arrange,Text+Video+Audio
henry can't be around children.,Inform,Audio
marcus is on his third dui.,Inform,Text
elias is afraid of minions.,Inform,Audio
nobody knows where brett is!,Complain,Text
mateo. hey.,Greet,Text
how you been?,Care,Text+Video
"good, thanks. yeah, i'm in a good place.",Thank,Text
"um, i just need to ask you something.",Ask for help,Text+Video
"did you get a voice mail, by chance?",Confirm,Text
"oh, sorry, one second. uh, ooh, i have to take this.",Apologise,Text
"we got back together. hey, sweetie.",Inform,Audio
"and your toupee, it's garbage.",Taunt,Text+Video+Audio
you look like a fry cook.,Taunt,Text+Video
"thank you, sandra. that was...lovely.",Thank,Text
we're gathered here today to honor our dear friend and co-worker brett kobashigawa.,Inform,Audio
he died doing what he loved most--collecting carts.,Inform,Audio
we do not know he's dead!,Emphasize,Text+Video+Audio
Text+Video+Audio we know is that brett was in the parking lot collecting carts when the tornado hit.,Inform,Text
brett wasn't killed by that tornado.,Inform,Audio
"thank you, dina.",Thank,Text
"what usuText+Video+Audioy happens is Text+Video+Audio the air is sucked from your lungs and then they fill up with blood, so, technicText+Video+Audioy, he probably drowned on his own blood.",Explain,Text+Video
why didn't we know about brett's death sooner?,Doubt,Text
apparently someone was clocking in for him.,Explain,Text+Video+Audio
"guys, this is one of the reasons that clock-in buddies is a bad idea.",Explain,Text+Video
"because he's probably still alive, basking on some beach in the mediterranean.",Explain,Text
"yeah, just waiting for his foot stump to heal.",Taunt,Text+Video+Audio
"nope, no--that's not it.",Oppose,Text
nope.,Oppose,Text
"hey, dina. you okay?",Care,Text+Video+Audio
i'm starting to think we should get everyone into the new storm shelter.,Plan,Text+Video+Audio
"uh, i don't think that's necessary.",Oppose,Text+Video
"tell that to brett. oh, wait, you can't.",Taunt,Text+Video+Audio
"hey, sandra, how's it going?",Care,Text
i just found out jerry's feeding tube got infected and--,Inform,Text
"so let me ask you a question, but don't tell garrett.",Ask for help,Text+Video+Audio
"hey, what's up, guys?",Greet,Text+Video
hey! what's going on?,Greet,Text+Audio
nothing?,Confirm,Text+Video+Audio
so you guys are just in the hText+Video+Audioway staring at each other saying nothing?,Confirm,Text+Video+Audio
"well, not nothing. i mean, we were--",Explain,Text
"jonah's going to a barbecue, and he asked if it'd be interesting to put burrata on a burger instead of provolone.",Explain,Text+Video+Audio
mm.,Leave,Text+Video+Audio
"wow, you are an incredible liar.",Praise,Text+Audio
thank you.,Thank,Text
good burn! that was fun.,Praise,Text
"i don't know if this is a workman's comp type of thing, but she needs to talk to someone.",Advise,Text+Video+Audio
ohh! okay.,Agree,Text+Video+Audio
a few last bits of housekeeping--,Inform,Text
the softbText+Video+Audio team will once again not be happening.,Inform,Text
"and lastly, uh-we found out that jerusha has an abnormText+Video+Audioy shaped uterus which will prevent her from getting pregnant.",Inform,Text
"so if any of you know any women who might like to carry our baby, you know, let me know.",Inform,Audio
"okay then, well, jeff, the floor is yours.",Arrange,Text
"yeah, thank you.",Thank,Text
thank you for that warm reception.,Thank,Text
it's about something big.,Inform,Audio
"no. hi, mateo.",Greet,Text
"um, sales are up this quarter.",Inform,Text
"we are within $80,000 of reclassification.",Inform,Text
"if we can make that by the end of the day, we will go from being a triple-a store to a...",Inform,Text
reclassified as a...,Inform,Text
"quadruple-a, guys. we're gonna be a quad-a store.",Inform,Text
we're gonna be a high volume store.,Inform,Text
"kinda like a duck's. wait, i'll--i'll draw it.",Leave,Text+Video+Audio
so this would be one more a then?,Confirm,Text
"believe me, you guys are gonna love this.",Inform,Audio
like we're famous or something?,Confirm,Text+Video+Audio
"uh, a point of clarification, jeff, would it have the soda too?",Confirm,Text
give me the marker 'cause someone just made a thousand dollar sale.,Flaunt,Text+Video+Audio
"oh, boo-hoo, poor jonah.",Taunt,Text
what a tragedy.,Taunt,Text+Video+Audio
"actuText+Video+Audioy, it was his friend's condo.",Emphasize,Text+Video+Audio
we could go over there at lunch.,Advise,Text
"check it out, maybe. just to be safe.",Advise,Text
"i mean, it's not the worst idea.",Praise,Text+Video+Audio
"hey, keep your eye on the prize, okay?",Advise,Text+Video+Audio
we cannot become a quad-a.,Inform,Audio
everyone there is exhausted Text+Video+Audio the time.,Inform,Text
they are open 24 hours.,Inform,Text
"no, guys, we've come too far. we are this close to quad-a.",Inform,Audio
we need to slow down sales.,Inform,Text
"Text+Video+Audio right, you heard amy, guys, let's cross that finish line and become quad-a.",Inform,Audio
"marcus, were you even listening?",Doubt,Text
"sorry, i got a Text earlier.",Apologise,Text
"cheyenne, do you reText+Video+Audioy wanna do this?",Confirm,Text
mm-hmm.,Acknowledge,Text
the deal's off.,Inform,Text
"because i don't want my baby carried by a huge stinker, like you.",Criticize,Text+Video+Audio
"oh, wait, you're being nice.",Praise,Text
"no, i'm not being nice. i'm being mean.",Oppose,Text
and--now i don't want a big stinky baby from a big stinker like you.,Criticize,Text+Video+Audio
you're stinking up the place.,Criticize,Text
just wanted to let you know we didn't make the target.,Inform,Text
no quad-a.,Inform,Audio
"oh, okay.",Acknowledge,Text
i was so close to having a baby.,Complain,Text
but-you wanna be my surrogate?,Ask for help,Text+Video+Audio
just for someone to squirt out your kid?,Doubt,Text
okay. okay.,Acknowledge,Text
this is cool.,Praise,Text
"whoa, oreo reText+Video+Audioy upped its game while i was in prison.",Praise,Text+Audio
"oh, amy, this is my mom.",Introduce,Text
"oh, my gosh! hi!",Greet,Text
you're the famous amy.,Praise,Text
i'm so sorry about the divorce and how your life is going.,Comfort,Text+Video+Audio
"oh, um, thank you.",Thank,Text
"uh, so what brings you to the store?",Care,Text
"oh, she was just bringing me this shirt that she got me that i forgot to put on this morning.",Explain,Text+Video+Audio
my mom thought we should go back to green day.,Explain,Text+Video+Audio
"well, i mean, it is a two-year-old's birthday party, and chey reText+Video+Audioy liked the idea-i know you've been kind of a mother figure for cheyenne while i've been away, but...",Explain,Text
"yes, sure.",Agree,Text
"yeah, sorry.",Apologise,Text
bye.,Leave,Text
"two chupacabra sightings, same exact description.",Inform,Text
i'm putting it in real.,Plan,Text+Video
it's the third time you've made that joke.,Criticize,Text
"i don't care, no, i just-i just think it's interesting, you know, i mean, i don't believe in angels, but if she wants to believe in angels, then i respect that, you know?",Explain,Text
"because i'm about to order a 22-foot sub, and i'd prefer to keep it intact, so one end has to start in your room.",Explain,Text+Video
attention cloud 9 shoppers.,Inform,Text
sushi is on sale at the deli.,Inform,Text
"mmm, discount sushi from a big box store.",Inform,Audio
"you know what, that sounded harsher than what i meant it to.",Inform,Audio
"if you like the sushi, just get the sushi.",Inform,Text
"yeah, i just, i'm trying to do it like garrett, but i'm a little better, i think, feeding off someone, you know, riffing in the moment.",Explain,Text
"yes, or hoda.",Acknowledge,Text+Video+Audio
"okay, Text+Video+Audio right...",Acknowledge,Text
then let's riff.,Advise,Text
yeah.,Acknowledge,Text
maybe we need to rehearse a little bit.,Advise,Text
okay.,Acknowledge,Text
i'm getting paid to sit around and play video games Text+Video+Audio day.,Flaunt,Text+Video+Audio
"i teach water aerobics to seniors after work, and they yell at me if i'm late.",Complain,Audio+Video
it can get racist.,Complain,Text+Video
"they don't know what i am, so it's kind of Text+Video+Audio over the place.",Complain,Text+Video
"kinda busy, i say you just do you.",Advise,Text
okay i wanna make sure you're ready.,Confirm,Text+Video+Audio
you just have some major dings.,Comfort,Text+Video+Audio
"you're over 30, you're divorced, you have a kid.",Taunt,Text+Video
"cheyenne has a baby, does that give her a ding?",Doubt,Text+Video+Audio
"no, because i have a baby the way that chrissy teigen has a baby.",Explain,Text
this whole system of rating people is gross.,Complain,Text+Video+Audio
"no, sarah's a seven, brett's an eight, tate's a ten because he has a good job and abs.",Explain,Text+Video+Audio
"that's correct, i'm the complete package.",Flaunt,Text
"i'm sorry, that was not-no, i think you're beautiful.",Apologise,Text
you're just a little bit higher than justine.,Taunt,Text
"oh, yeah.",Acknowledge,Text
"oh yeah, yeah.",Acknowledge,Text
"yeah, anyway, um, if you reText+Video+Audioy wanna get up, i guess it's okay, you have to promise to take it easy.",Advise,Text+Video+Audio
a hummingbird flew by and i wanna see if he comes back.,Plan,Text+Video
take Text+Video+Audio the time you need.,Comfort,Text+Video+Audio
yeah.,Acknowledge,Text
"i mean, i could use a snack-just some baby carrots.",Ask for help,Text+Video+Audio
okay.,Acknowledge,Text
"and if you could stack them in a bowl-preferably glass so i can see the layers-that'd be great, thanks.",Arrange,Text+Video+Audio
i'll see what we have that wasn't part of the listeria outbreak.,Plan,Text+Video+Audio
"yeah, i don't say this very often, but that cloud 9 suit looks reText+Video+Audioy great on you.",Praise,Text
"oh, thanks.",Thank,Text
yeah.,Acknowledge,Text
would you go out on a date with someone like me?,Confirm,Text+Video
"oh, no, no, no, i'm not asking you out.",Explain,Text+Video+Audio
why would she have died?,Doubt,Text
"you were looking for a way out, i'm like a eight minimum, right?",Confirm,Text
thank you.,Thank,Text
okay.,Acknowledge,Text
"well, ah, that's, that's great.",Praise,Text
"yeah, why don't you, uh, you know, get changed and we'll get to work, huh?",Arrange,Text+Video+Audio
"yeah, okay.",Acknowledge,Text
"just got this feeling like a marble rolling around in my uterus, i mean, gosh, i wonder what that's about.",Complain,Text
"no, no, no, no, you stay on that couch!",Prevent,Text
that sweet little marble is the only thing that matters.,Emphasize,Text+Video+Audio
you relax.,Arrange,Text+Video+Audio
"hey, would you mind grabbing me some wet wipes and a bottle of febreze?",Ask for help,Text
"protip--if you cup the mic, you get a nice voice-of-god effect.",Advise,Text+Video+Audio
"oh, why don't you go out to los angeles and give laura dern some acting tips?",Taunt,Text+Video+Audio
"okay, i gotta go feed dina's birds, so today's the same as yesterday.",Plan,Text
"garrett, you're am, jonah and kelly, you're on announcements.",Arrange,Text+Video+Audio
i gotta go google how to give insulin to a parrot.,Plan,Text
"sandra, we need this area clear.",Arrange,Text
i told them and they told me that my butt's a fire hazard.,Inform,Text
okay?,Confirm,Text+Video+Audio
"attention, Text+Video+Audio soft boys. get off your butts, and move to the side, now!",Inform,Audio
the first person to step out of line is going to get my foot in their throat.,Warn,Text+Video+Audio
use...less.,Taunt,Text+Video+Audio
"oh, hi. i came back with friends.",Greet,Text
"say hi, say hi.",Greet,Text+Video+Audio
"no, no, no, no, i know that. what about the baby?",Care,Text+Video+Audio
the implantation worked. i'm pregnant.,Inform,Text
"that's the most beautiful, magical thing anyone has ever said to me.",Praise,Text
thank you.,Thank,Text
"no, i am sure i Texted you.",Inform,Audio
it was like a week ago.,Inform,Audio
i see what happened. Texted the wrong glen.,Explain,Text
"my assistant manager and i, we're going to have a baby.",Inform,Audio
"no, no, never mind.",Comfort,Text
"so, this is--this is cool.",Praise,Text
i'm so glad we're doing this.,Praise,Text
"yeah, it's...it's very cool.",Praise,Text
"no, it's not cool.",Oppose,Text
i don't--i don't-i never said that.,Oppose,Text
you're not better than me!,Criticize,Text
so enjoy losing another dice award to troy baker.,Criticize,Text+Video+Audio
jerk.,Criticize,Text
taurus-driving loser.,Criticize,Text
"i mean, the sad thing is, he is the cool one.",Explain,Text+Video+Audio
it's just making this a lot more difficult.,Complain,Text
"no, i'm not losing my temper, sandra.",Oppose,Text
"oh, i'm not a lawyer.",Oppose,Text+Video+Audio
"okay, what about the time you said jonah looks great in shirts?",Doubt,Text+Video+Audio
"yeah, were you lying or telling the truth then?",Doubt,Text+Video
well...,Acknowledge,Text
something's jammed in the box crusher.,Inform,Text
i was wondering if you could climb in and get it out.,Ask for help,Text
it just--it feels like a box crusher could hurt someone reText+Video+Audioy badly.,Explain,Text+Video
"there's no need to worry about that, 'cause i got the button right here.",Comfort,Text+Video
"yeah, okay.",Agree,Text+Video+Audio
i thought it'd be helpful for us Text+Video+Audio to watch the surveillance footage of amy hanging the sign that fell on mateo so we can learn what not to do.,Inform,Text
"well, i do. so we are.",Inform,Audio
i'm so sorry. i don't know what else to do.,Apologise,Text
"um, that's the wrong file.",Inform,Audio
that's from glenn's mullet phase.,Joke,Text+Video+Audio
i can't stand this new system. i can't find anything.,Complain,Text
because this job is incredibly boring.,Explain,Text+Video
"yes, exactly. thank you, kelly.",Thank,Text
"amy frenched her man, and now they're gonna throw down.",Taunt,Text+Video+Audio
"well, i just want you to know i have your back.",Comfort,Text+Video
that's reText+Video+Audioy sweet.,Praise,Text
should we do something to amy's car?,Advise,Text+Video
hey.,Greet,Text
"look, uh, i was just flustered, you know, back there.",Explain,Text
"yeah, great, okay.",Acknowledge,Text+Video+Audio
"hey, jeff, the man in red! what are you doing here?",Greet,Audio
"hey, you like chicken wings, right?",Confirm,Text
"i cannot do that now, but thank you for the invite.",Thank,Text
excuse me.,Leave,Text+Video+Audio
she's coo-coo for liquids.,Joke,Text+Video+Audio
"hi, hey, excuse me, uh, my name is amy.",Greet,Text
"yes, yeah, yeah, yeah. nodding would be great.",Agree,Text
"wow, that's a very insightful point you're making about the uh, beverages.",Praise,Text
"if jeff is going to pooch our people, well i say let's see how he likes it when we pooch his.",Warn,Text+Video+Audio
"man, never mind, sorry. forcing it.",Comfort,Text+Video+Audio
"wow, the red's so lively. it reText+Video+Audioy pops.",Praise,Text
"morning, everyone.",Greet,Text
"okay, uh, before the new district manager gets here, i just wanted to warn you her name is laurie neustadt.",Inform,Text
no. i mean...,Oppose,Text+Video+Audio
"i'm googling her, and apparently she's from denver.",Introduce,Text+Video+Audio
"denver, terrific. let's go with the denver thing.",Advise,Text+Video+Audio
or we could just treat her like she's a human being.,Advise,Text
"yeah, but we've got the denver thing in case that doesn't work out.",Agree,Text
"right, and why wouldn't that work?",Doubt,Text
"okay, she's here. places, everyone!",Introduce,Text+Video+Audio
"whoa, whoa, wait, wait, wait, wait.",Prevent,Text
now i'm ready.,Inform,Text
"okay. um, hi.",Greet,Text
i am laurie neustadt.,Introduce,Text
i'm taking over for jeff.,Inform,Text
"i'm gonna be here Text+Video+Audio day walking around, getting to know the store, trying to figure out ways we can make things a little more efficient.",Inform,Text
"so, um, busy day. let's, uh, get back out there.",Arrange,Text+Video+Audio
let's get back out there.,Arrange,Text+Video+Audio
"great, let's take it. that would put us over $8,000.",Praise,Text
"if we don't find enough budget cuts to cover her salary, laurie is gonna fire myrtle.",Warn,Text+Video+Audio
it's because she's a bitch.,Complain,Text
"yeah, well, that's because the vending machine didn't have any takis.",Explain,Text
yes!,Acknowledge,Text+Video+Audio
red pill brothers.,Joke,Text+Video+Audio
"no, i just mean if we had true equality, you could cText+Video+Audio out women for doing something terrible when they're doing something terrible.",Explain,Text
"no, bitch, the gays took that from you.",Oppose,Text
"hey, if hitler was a woman, would you be defending hitler?",Doubt,Text+Video+Audio
"no, obviously not.",Oppose,Text
what if oprah hosted the holocaust?,Doubt,Text
"i think we solved sexism, guys.",Inform,Text
this is cloud 9's way of supporting the local smText+Video+Audio business owners we're constantly putting out of business.,Inform,Audio
just look at these beautiful needlepoints.,Introduce,Text+Video+Audio
this is certainly an exciting product.,Praise,Text
"no, no, it isn't.",Oppose,Text
i appreciate the opportunity to sell my crafts in your lovely store.,Thank,Text
it's just so exciting to have such a beautiful stranger at our vendor fair.,Praise,Text
"glenn, are you gonna tell your wife that you're flirting with one of the vendors?",Doubt,Text+Video+Audio
"oh, so you guys have an open marriage.",Taunt,Text+Video
"oh. oh, oh, god, no!",Oppose,Text+Video+Audio
then why are you trying to get at the vendor lady?,Doubt,Text
"no, don't cText+Video+Audio her.",Prevent,Text
don't answer that!,Prevent,Text
this is very impressive.,Praise,Text
it came to me in a dream.,Introduce,Text+Video+Audio
a reText+Video+Audioy boring dream.,Introduce,Text+Video+Audio
and it is taking forever.,Introduce,Text+Video+Audio
"well, you know, if you get hungry, i highly recommend the mini burritos.",Advise,Text+Video+Audio
"i don't know, there's something lame about a burnout white dude making money off mexican food.",Taunt,Text+Video+Audio
burritos aren't from costa rica.,Oppose,Text+Video+Audio
"yeah, no, i know. obviously.",Agree,Text
be careful.,Warn,Text+Video+Audio
i'm gonna have to take away your latina card.,Joke,Text+Video+Audio
i found this on the sidewalk and i felt reText+Video+Audioy weird about throwing it away.,Explain,Text
"guys, i'm the latina one.",Inform,Audio
"i mean, you don't even like spicy food, so...",Explain,Text
i am not out of my element.,Oppose,Text
